country_code,Name,cluster_full,cluster_policy,switched
ARG,Argentina,5,6,True
AUS,Australia,4,4,False
AUT,Austria,1,3,True
BEL,Belgium,1,3,True
BRA,Brazil,6,5,True
CAN,Canada,1,2,True
CHE,Switzerland,1,3,True
CHL,Chile,5,6,True
CHN,China,6,4,True
COL,Colombia,5,6,True
CZE,Czech Republic,4,4,False
DEU,Germany,1,3,True
DNK,Denmark,2,1,True
ESP,Spain,1,4,True
EST,Estonia,4,4,False
FIN,Finland,3,2,True
FRA,France,1,3,True
GBR,United Kingdom,1,3,True
GRC,Greece,1,3,True
HUN,Hungary,1,4,True
IDN,Indonesia,6,5,True
IND,India,6,5,True
IRL,Ireland,1,2,True
ISL,Iceland,3,2,True
ISR,Israel,4,4,False
ITA,Italy,1,3,True
JPN,Japan,5,6,True
KOR,"Korea, Republic of",4,4,False
LTU,Lithuania,1,3,True
LUX,Luxembourg,1,3,True
LVA,Latvia,1,3,True
MEX,Mexico,5,6,True
NLD,Netherlands,1,3,True
NOR,Norway,3,2,True
NZL,New Zealand,2,1,True
PER,Peru,6,5,True
PHL,Philippines,6,5,True
POL,Poland,4,4,False
PRT,Portugal,1,3,True
RUS,Russian Federation,4,4,False
SAU,Saudi Arabia,4,4,False
SGP,Singapore,4,4,False
SVK,Slovakia,1,4,True
SVN,Slovenia,5,6,True
SWE,Sweden,3,2,True
TUR,Turkey,6,5,True
USA,United States,4,4,False
VNM,Viet Nam,6,5,True
ZAF,South Africa,5,6,True
